Item Identifier,Item Fat Content,Item Type,Outlet Establishment Year,Outlet Location Type,Outlet Size,Outlet Type,Total Amount,Rating
FDX32,Regular,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,13129.44365,5
NCB42,Low Fat,Health and Hygiene,2022,Tier 3,Medium,Supermarket Type2,10410.2653,5
FDR28,Regular,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,14893.14525,5
FDL50,Regular,Canned,2000,Tier 3,High,Supermarket Type1,11417.04015,5
DRI25,Low Fat,Soft Drinks,2015,Tier 2,Small,Supermarket Type1,4978.31635,5
FDS52,low fat,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,9241.7444,5
NCU05,Low Fat,Health and Hygiene,2011,Tier 3,Small,Grocery Store,7351.92745,5
NCD30,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,8670.55215,5
FDW20,Low Fat,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,11206.61325,5
FDX25,Low Fat,Canned,1998,Tier 3,Medium,Supermarket Type3,16419.1103,5
FDX21,LF,Snack Foods,1998,Tier 3,Medium,Supermarket Type3,9917.6808,5
NCU41,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,17344.66015,5
FDL20,Low Fat,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,10143.07115,5
NCR54,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,17617.79275,5
FDH19,Low Fat,Meat,1998,Tier 3,Medium,Supermarket Type3,15628.93545,5
FDB57,Regular,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,20051.4923,5
FDO23,Low Fat,Breads,2022,Tier 3,Medium,Supermarket Type2,8460.3599,5
NCB07,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,17834.39275,5
FDJ56,Low Fat,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,8913.9925,5
DRN47,Low Fat,Hard Drinks,2022,Tier 3,Medium,Supermarket Type2,16115.5815,5
FDZ07,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,5434.80085,5
NCK31,Low Fat,Others,1998,Tier 3,Medium,Supermarket Type3,4599.73565,5
FDJ41,Low Fat,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,23614.76085,5
DRI51,Low Fat,Dairy,2022,Tier 3,Medium,Supermarket Type2,15629.1701,5
FDC40,Regular,Dairy,2020,Tier 2,Medium,Supermarket Type1,6876.92365,5
FDB53,Low Fat,Frozen Foods,2020,Tier 2,Medium,Supermarket Type1,13559.0878,5
FDA16,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,20030.5904,5
FDO19,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,4278.15685,5
FDO04,Low Fat,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,5167.84135,5
FDL25,Regular,Breakfast,2012,Tier 1,Medium,Supermarket Type1,8409.5311,5
NCJ30,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,15142.05475,5
NCQ41,Low Fat,Health and Hygiene,2000,Tier 3,High,Supermarket Type1,17723.24085,5
DRJ35,Low Fat,Hard Drinks,2000,Tier 3,High,Supermarket Type1,5413.89895,5
NCE31,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,3196.7994,5
FDY09,Low Fat,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,15731.06235,5
FDZ04,low fat,Frozen Foods,2000,Tier 3,High,Supermarket Type1,5564.00275,5
FDY07,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,4227.32805,5
